name,age,class,gender,dateOfBirth
mani,10,7,male,10-03-2018
sneha,11,6,female,25-07-2017
arjun,9,5,male,14-11-2015
priya,10,7,female,02-01-2016
kiran,12,7,male,29-04-2014
dev,11,6,male,18-09-2013
meena,9,5,female,03-12-2015
ravi,10,6,male,30-06-2016
sara,8,4,female,01-08-2016
naveen,10,6,male,20-10-2014
anita,8,4,female,15-05-2017
rahul,9,5,male,22-09-2016
vijay,11,6,male,07-08-2014
lakshmi,10,5,female,19-03-2015
suresh,12,7,male,11-11-2013
kavita,9,5,female,28-02-2016
mohan,10,6,male,14-07-2015
deepa,8,4,female,03-12-2017
ramesh,11,7,male,09-04-2014
pooja,10,6,female,17-10-2015
dinesh,9,5,male,22-01-2016
tanya,11,7,female,05-06-2014
vikram,12,7,male,30-09-2013
neha,10,6,female,11-11-2015
sanjay,8,4,male,23-08-2017
rekha,9,5,female,14-05-2016
ajay,10,6,male,27-12-2015
divya,11,7,female,19-02-2014
arun,12,7,male,08-07-2013
sunita,9,5,female,16-04-2016

